id,season,Venue_Id,date,Match_Type_Id,player_of_match,Team1_Id,Team2_Id,Toss_Winner_Team_Id,toss_decision,Match_Winner_Team_Id,result,result_margin,target_runs,target_overs,super_over,method,Umpire1_Id,Umpire2_Id
419155,2010,10,4/15/2010,5,G Gambhir,1,3,1,bat,3,wickets,6,113,20,N,NA,25,62
419156,2010,14,4/16/2010,5,RG Sharma,5,2,2,field,2,wickets,5,175,20,N,NA,36,8
419157,2010,4,4/17/2010,5,R McLaren,12,9,12,field,9,runs,57,192,20,N,NA,25,59
419158,2010,26,4/17/2010,5,JD Unadkat,7,11,11,bat,7,wickets,8,133,20,N,NA,13,48
419159,2010,14,4/18/2010,5,MS Dhoni,5,1,1,field,1,wickets,6,193,20,N,NA,12,8
419160,2010,13,4/18/2010,5,A Symonds,3,2,2,bat,2,runs,11,146,20,N,NA,15,60
419161,2010,26,4/19/2010,5,M Kartik,7,9,9,bat,7,wickets,9,134,20,N,NA,13,49
419162,2010,30,4/21/2010,8,KA Pollard,12,9,9,bat,9,runs,35,185,20,N,NA,15,48
419163,2010,30,4/22/2010,8,DE Bollinger,1,2,1,bat,1,runs,38,143,20,N,NA,15,48
419164,2010,30,4/24/2010,1,A Kumble,12,2,2,bat,12,wickets,9,83,20,N,NA,49,59
419165,2010,30,4/25/2010,4,SK Raina,1,9,1,bat,1,runs,22,169,20,N,NA,49,59
501198,2011,10,4/8/2011,5,S Anirudha,1,7,1,bat,1,runs,2,154,20,N,NA,15,46
501199,2011,19,4/9/2011,5,SK Trivedi,2,11,11,field,11,wickets,8,138,20,N,NA,49,60
501200,2011,25,4/9/2011,5,AB de Villiers,6,12,6,bat,12,wickets,6,162,20,N,NA,25,32
501201,2011,13,4/10/2011,5,SL Malinga,3,9,3,bat,9,wickets,8,96,20,N,NA,8,48
501202,2011,30,4/10/2011,5,SB Wagh,10,5,5,bat,10,wickets,7,113,20,N,NA,15,46
501203,2011,26,4/11/2011,5,JH Kallis,7,2,7,bat,7,runs,9,164,20,N,NA,49,60
501204,2011,21,4/12/2011,5,SK Warne,11,3,3,bat,11,wickets,6,152,20,N,NA,7,48
501205,2011,4,4/12/2011,5,SR Tendulkar,12,9,9,field,9,wickets,9,141,20,N,NA,25,6
501206,2011,9,4/13/2011,5,PC Valthaty,5,1,5,field,5,wickets,6,189,20,N,NA,9,61
501207,2011,30,4/13/2011,5,MD Mishra,10,6,6,bat,10,wickets,4,149,20,N,NA,53,46
501208,2011,19,4/14/2011,5,DW Steyn,2,12,12,field,2,runs,33,176,20,N,NA,49,55
501209,2011,21,4/15/2011,5,G Gambhir,11,7,7,field,7,wickets,9,160,20,N,NA,7,62
501210,2011,31,4/15/2011,5,BB McCullum,9,6,6,field,6,wickets,8,183,20,N,NA,15,46
501211,2011,10,4/16/2011,5,MEK Hussey,1,12,1,bat,1,runs,21,184,20,N,NA,25,6
501212,2011,19,4/16/2011,5,PC Valthaty,2,5,5,field,5,wickets,8,166,20,N,NA,49,55
501213,2011,30,4/17/2011,5,Yuvraj Singh,10,3,3,field,3,wickets,3,188,20,N,NA,9,8
501214,2011,26,4/17/2011,5,L Balaji,7,11,7,field,7,wickets,8,82,20,N,NA,7,48
501215,2011,25,4/18/2011,5,BB McCullum,6,1,6,field,6,wickets,7,135,17,N,D/L,32,6
501216,2011,13,4/19/2011,5,S Sohal,3,2,2,bat,2,runs,16,169,20,N,NA,46,50
501218,2011,31,4/20/2011,5,MM Patel,9,10,10,bat,9,wickets,7,119,20,N,NA,9,8
501219,2011,26,4/20/2011,5,DPMD Jayawardene,7,6,7,field,6,runs,6,133,20,N,NA,7,48
501220,2011,9,4/21/2011,5,SE Marsh,5,11,11,field,5,runs,48,196,20,N,NA,53,46
501221,2011,31,4/22/2011,5,Harbhajan Singh,9,1,1,field,9,runs,8,165,20,N,NA,9,8
